,code,year,period,id,Country,tourists,venue,rate,food,glass,metal,other,paper,plastic,leather,green_waste,waste_recycling,polution_clf
11,EEA_3161-03-3,2009,2009-04--2009-10,FRGR0220,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
20,EEA_3161-05-5,2009,2009-01--2009-12,FRDR179,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
27,EEA_3161-01-1,2009,2009-01--2009-12,FRDR174,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
28,EEA_3161-05-5,2009,2009-01--2009-12,FRDR174,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
33,EEA_3161-03-3,2009,2009-01--2009-12,FRGR0173,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
49,EEA_3161-01-1,2009,2009-01--2009-12,FRGR0178A,France,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
52,EEA_3161-02-2,2009,2009-01--2009-12,FRGR0178A,France,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
62,EEA_31615-01-7,2009,2009-01--2009-12,FRFR327C,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
78,EEA_3161-02-2,2009,2009-01--2009-12,ES014MSPFES-014-NR-038-000-02-02,Spain,50941692.0,4.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,0
85,EEA_31615-01-7,2009,2009-01--2009-12,FRGR0175,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
87,EEA_3161-02-2,2009,2009-01--2009-12,FRGR0176,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0
90,EEA_3161-05-5,2009,2009-01--2009-12,FRGR0178A,France,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
95,EEA_3161-02-2,2007,2007-01--2007-12,UKSC023155,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,1
97,EEA_3161-02-2,2007,2007-01--2007-12,UKSC020433,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,0
99,EEA_3161-02-2,2007,2007-01--2007-12,UKSC005287,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,0
100,EEA_3161-02-2,2007,2007-01--2007-12,UKSC010562,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,0
105,EEA_3161-02-2,2006,2006-01--2006-12,UKSC010758,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,0
116,EEA_3161-03-3,2008,2008-01--2008-12,FRGR0543,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
117,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0543,France,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
136,EEA_3161-02-2,2008,2008-01--2008-12,FRGR0543,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
164,EEA_3161-01-1,2009,2009-01--2009-12,BG4ST600R1036,Bulgaria,4836884.0,4.0,10.928049723307288,24.35,5.83,1.98,17.93,14.18,12.15,1.96,19.18,19.03,1
179,EEA_3161-01-1,2009,2009-01--2009-12,FRHR232B,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
180,EEA_3161-05-5,2009,2009-01--2009-12,FRHR232B,France,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1
